Hebrew,Russian
לא,нет
את,Ты
אני,я
זה,Эта
אתה,ты
מה,какая
הוא,он
על,На
לי,мне
של,из
כן,да
לך,тебе
אבל,но
יש,есть
שלי,мой
כל,все
בסדר,Ладно
עם,С участием
היא,она
שלך,ваш
אם,Если
טוב,хорошо
היה,Был
אנחנו,мы
רוצה,хотеть
אז,потом
יודע,знает
רק,только
הם,Oни
יכול,Мочь
אותו,ему
אותך,ты
יותר,Больше
ג,в третьих
כאן,Вот
אותי,меня
הזה,этот
שאני,я
למה,Зачем
להיות,быть
עכשיו,сейчас же
או,или
אחד,один
משהו,что нибудь
היי,Здравствуй
צריך,Должен
כמו,такой же как
אל,в
כך,так
איך,Как
אין,ничего
נכון,Правильно
לעשות,делать
תודה,Спасибо
לו,Для него
לנו,нас
שאתה,Ты
מי,кто будет
זאת,этот
שם,Там
חושב,мышление
כדי,Чтобы
שהוא,это он
כמה,Немного
פשוט,просто
יודעת,Know
אותה,ее
אולי,Может быть
באמת,действительно
כי,Потому что
הייתי,я был
שזה,таких
גם,также
זו,этот
עושה,делается
האם,мама
ואני,И я
דבר,Ничего
שלו,Его
עוד,Больше
כבר,уже
שלא,Это
נראה,видели
שלנו,наш
מאוד,очень
לפני,перед
הרבה,много
בבקשה,Всегда пожалуйста
הולך,Собирается
קדימה,вперед
אומר,Говорит
יהיה,будет
יכולה,Мочь
פעם,время
זמן,время
אתם,ты
עדיין,Еще
עד,До тех пор
ממש,действительно
אלוהים,Бог
ובכן,Хорошо
איפה,где
לה,ее
קצת,Немного
מישהו,кто то
אותם,их
לעזאזל,Черт
אה,ой
לראות,Увидеть
הנה,Вот
הייתה,был
פה,Рот
אבא,отец
הכל,Все
ללכת,идти
בכל,в целом
שהיא,Это
צריכה,потребление
בדיוק,именно так
אנשים,люди
אף,Нос
לדבר,Разговаривать
חייב,должен
שוב,очередной раз
חשבתי,я думал
היית,Не могли бы вы
היום,сегодня
שיש,Это
מצטער,сожалею
מר,г-н
צריכים,Нужно
בוא,Давайте
היו,существовал
שאת,Ты
חושבת,Считать
קרה,Произошло
אחת,Один
לזה,Это
שלה,его
אמא,мама
אוהב,Любить
שום,чеснок
אחר,Другой
אפילו,Даже
ה,Бог
אדוני,Бог
תמיד,Всегда
יכולים,мочь
יום,день
חבר,друг
להם,им
בטוח,Конечно
בגלל,Потому что
שלום,Здравствуйте
ואז,а потом
בטח,Наверное
קורה,Случается
האלה,эти
אחרי,после
שהם,что они
מדי,каждый
רואה,Взгляды
הזאת,этот
הזמן,время
כולם,Каждый
איתך,с вашим
אמר,сказал
רגע,момент
צ,Чешский
בן,сын
ו,и
שאנחנו,Мы
אמרתי,я сказал
איזה,Который
בו,на него
אדם,Персона
תראה,Смотреть
דברים,дрянь
מבין,Понимаю
טובה,одолжение
בשביל,Для
בזה,расхищение
דרך,путь
אוקיי,Ладно
לעזור,Помогите
אותנו,нас
בבית,жилой дом
בואו,Приходить
מספיק,достаточно
הו,ой
תהיה,Будет
הכי,большинство
הדבר,вещь
תן,Сделать
י,
ב,В
לדעת,знать
כלום,нет ничего
מקום,место
כזה,такой
לקחת,принять
מזה,из этого
לכם,тебе
מתכוון,Собирается
ככה,Так
ביותר,самый
אוכל,питание
איתי,Итай
יודעים,Know
אפשר,Позволять
ר,р
וזה,и это
לומר,рассказать
ל,к
כאילו,любить
קשה,Жесткий
לכאן,Вот
הביתה,Главная
עליי,меня
להגיד,сказать
שנים,лет
מת,мертвых
די,достаточно
למצוא,найти
גדול,большой
היתה,был
שני,малиновый цвет
בלי,без
מצטערת,сожалею
אנו,мы
אלה,богиня
שלהם,их
לקבל,Получить
הזו,Эта
יפה,милая
ראיתי,я видел
מנסה,Пытаться
כמובן,конечно
מותק,мед
